iter	Passed	Remaining
0	422	126333
1	868	129418
2	1271	125911
3	1511	111816
4	1935	114190
5	2178	106751
6	2520	105484
7	2873	104882
8	3309	107013
9	3682	106795
10	4039	106120
11	4378	105086
12	4740	104666
13	5341	109117
14	5731	108903
15	6125	108727
16	6600	109886
17	6912	108294
18	7354	108772
19	7820	109485
20	8252	109640
21	8662	109458
22	9051	109007
23	9401	108116
24	9695	106651
25	10036	105769
26	10419	105355
27	10823	105139
28	11186	104537
29	11559	104035
30	11908	103330
31	12309	103091
32	12821	103733
33	13258	103729
34	13597	102953
35	13962	102393
36	14416	102471
37	14791	101981
38	15202	101736
39	15669	101853
40	16236	102565
41	16780	103082
42	17192	102754
43	17623	102536
44	18062	102353
45	18485	102072
46	18673	100520
47	19101	100284
48	19445	99609
49	19840	99201
50	20259	98913
51	20597	98235
52	21010	97915
53	21452	97726
54	21877	97452
55	22265	97016
56	22733	96917
57	23061	96222
58	23479	95909
59	23923	95693
60	24454	95811
61	24924	95676
62	25474	95831
63	25850	95325
64	26333	95205
65	26750	94844
66	27220	94662
67	27652	94343
68	28024	93821
69	28394	93295
70	28851	93055
71	29278	92715
72	29738	92474
73	30133	92029
74	30568	91705
75	31004	91381
76	31450	91083
77	31913	90830
78	32340	90470
79	32786	90162
80	33281	89982
81	33697	89585
82	34172	89341
83	34543	88827
84	35006	88545
85	35471	88265
86	35900	87893
87	36386	87658
88	36939	87574
89	37295	87021
90	37676	86532
91	38129	86206
92	38543	85791
93	39024	85522
94	39492	85221
95	39876	84737
96	40295	84328
97	40675	83842
98	41105	83457
99	41499	82998
100	41904	82565
101	42360	82228
102	42826	81910
103	43219	81451
104	43631	81029
105	44081	80677
106	44500	80266
107	45013	80023
108	45445	79633
109	45854	79202
110	45944	78230
111	46368	77833
112	46766	77392
113	47227	77055
114	47561	76511
115	47975	76098
116	48033	75129
117	48436	74707
118	48818	74253
119	49249	73874
120	49668	73476
121	50081	73069
122	50218	72265
123	50630	71863
124	51106	71548
125	51535	71168
126	51912	70715
127	52301	70279
128	52664	69810
129	53070	69399
130	53505	69025
131	53974	68695
132	54337	68227
133	54711	67777
134	55123	67373
135	55636	67090
136	55735	66313
137	56160	65927
138	56625	65587
139	57063	65215
140	57318	64636
141	57801	64314
142	58387	64103
143	58856	63761
144	59314	63404
145	59717	62989
146	59850	62292
147	59902	61521
148	60269	61078
149	60660	60660
150	60757	59952
151	61228	59617
152	61403	58995
153	61809	58599
154	62273	58255
155	62753	57925
156	63244	57605
157	63474	57047
158	63868	56638
159	64249	56218
160	64706	55864
161	65140	55490
162	65580	55119
163	66163	54866
164	66247	54202
165	66681	53827
166	67230	53542
167	67623	53132
168	68084	52775
169	68440	52336
170	68865	51950
171	69264	51545
172	69708	51173
173	70132	50785
174	70582	50415
175	70903	49954
176	71350	49582
177	71719	49156
178	72246	48836
179	72672	48448
180	73083	48049
181	73470	47635
182	73887	47239
183	74325	46857
184	74502	46312
185	75039	45992
186	75520	45635
187	75984	45267
188	76407	44874
189	76558	44323
190	76951	43914
191	77158	43401
192	77686	43069
193	77907	42568
194	78362	42195
195	78915	41873
196	79310	41466
197	79751	41084
198	80102	40654
199	80495	40247
200	80895	39843
201	81319	39452
202	81674	39026
203	82072	38622
204	82450	38208
205	82875	37817
206	83339	37442
207	83776	37054
208	84111	36622
209	84455	36195
210	84904	35812
211	85400	35449
212	85834	35059
213	85998	34560
214	86463	34183
215	86870	33783
216	86935	33251
217	87294	32835
218	87738	32451
219	88300	32109
220	88511	31639
221	88895	31233
222	89313	30839
223	89749	30450
224	90110	30036
225	90503	29634
226	90884	29227
227	91292	28829
228	91713	28435
229	92153	28046
230	92393	27598
231	92841	27212
232	93250	26814
233	93678	26422
234	94127	26035
235	94496	25626
236	94956	25241
237	95382	24847
238	95807	24452
239	96181	24045
240	96603	23649
241	97036	23256
242	97420	22851
243	97791	22444
244	97894	21976
245	98305	21579
246	98713	21181
247	99133	20786
248	99531	20386
249	99990	19998
250	100503	19620
251	100908	19220
252	101320	18822
253	101728	18423
254	102086	18015
255	102470	17612
256	102905	17217
257	103236	16805
258	103660	16409
259	104051	16007
260	104375	15596
261	104753	15193
262	105179	14797
263	105571	14396
264	105942	13992
265	106306	13587
266	106715	13189
267	107140	12792
268	107546	12393
269	107922	11991
270	108299	11589
271	108697	11189
272	109094	10789
273	109523	10392
274	109923	9993
275	110300	9591
276	110771	9197
277	111187	8799
278	111598	8399
279	112047	8003
280	112434	7602
281	112873	7204
282	113329	6807
283	113909	6417
284	114407	6021
285	114809	5620
286	115255	5220
287	115736	4822
288	116155	4421
289	116553	4019
290	116970	3617
291	117472	3218
292	117896	2816
293	118313	2414
294	118769	2013
295	119220	1611
296	119725	1209
297	120293	807
298	120719	403
299	121274	0
